Position,Technical Requirements,Experience,URL,Job ID,Company
Java Software Engineer,"- Java: Proficient in Java and its technology ecosystems. This includes spring-boot, graalvm, spring- security, vert.x, groovy, and others.
- Git: Proficient in Source Code Version Control such as Git
- Microsoft SQL Server: Experience in Oracle and MSSQL databases and SQL queries will be an added advantage.
- Microsoft Azure: Proficient in Microsoft Office software suite and cloud platform such as Microsoft Azure and Alibaba Cloud.
- Web API development: Proficient in Web API development such as GraphQL and RESTful.
- Docker and Kubernetes: Knowledge in Docker and Kubernetes or any containerization technologies.
- CI/CD: Understanding DevOps practice such as CI/CD and able to implement CI/CD pipeline.
- Visual Studio or IntelliJ IDEA: Knowledge in using development editor such as Visual Studio or IntelliJ IDEA","3- 5 years of experience in software development and a bachelor’s degree or equivalent, in Information Technology or related field.",https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4101953092,4101953092,RiDiK (a Subsidiary of CLPS. Nasdaq: CLPS)
Search Ops AI Evaluation Specialist,"- AI Model Evaluation: Ability to assess AI model quality based on evaluation standard documents and identify bad cases.
- Language Skills: Excellent language skills in English and the local language.
- Knowledge of AI: Knowledge about AI or related models and familiarity with social media platforms.
- Analytical Skills: Ability to analyze data and provide insights.
- Cultural Understanding: An in depth understanding of local culture and familiarity with the internet usage habit of local users.
- Learning Ability: Strong ability to learn and understand.
- Office Software: Familiarity with common office software.
- Search Evaluation: Experience in search evaluation is preferred.","Bachelor degree or above, major in journalism, literature, mathematics, computer, medicine, law, and economics.",https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4076504707,4076504707,TikTok
AI Search Optimization Intern,"- Programming: Proficiency in Python, Java, or related languages.
- Azure AI Search: Knowledge of Azure AI Search and machine learning concepts is a plus.
- Analytical Skills: Strong analytical and problem-solving skills.
- Collaboration: Ability to collaborate effectively in a fast-paced environment.","Currently pursuing a degree in Computer Science, Data Science, AI, or related fields.",https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4158224206,4158224206,Maxis
Software Engineer (Big Data),"- Python: Experience implementing data solutions using Python.
- Big Data technologies: Experience working with Big Data related technologies.
- Cloud data technology: Experience with cloud data technology and solutions (AWS/GCP/Azure).
- Enterprise software development: Experience with enterprise software development and deploying data solutions.
- Distributed computing: Good understanding of big data concepts (distributed computing).
- Semi/unstructured file formats: Good understanding of big data concepts (semi/unstructured file formats).
- Data lake: Good understanding of big data concepts (data lake).","Bachelor’s Degree preferably in Computer Science, Information Technology, Software Engineering or equivalent, and 2+ years experience working with Big Data technologies, and 2+ years of programming experience.",https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4024917853,4024917853,EPAM Systems
LLM Applied Scientist,"- LLMs and GenAI: Strong understanding of LLMs, prompt engineering techniques, GenAI technologies and frameworks
- Prompt Engineering: Design, develop, and optimize high-quality prompts for GenAI applications. Perform systematic evaluation of prompts and LLMs across different use cases. Recommend ways to measure performance and success of prompts
- Python: Proficient in Python, with strong coding practices in GenAI domain including prompt libraries and prompt template reusability
- Machine Learning: Hands on experience in machine learning, predictive analytics and statistical modeling would be an advantage
- Communication: Demonstrably excellent verbal and written communication skill","Strong mathematical, statistical or data science background",https://www.linkedin.com/jobs/search/?currentJobId=4158303605&geoId=106808692&keywords=moneylion&origin=JOB_COLLECTION_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true,4158303605,MoneyLion
Machine Learning Scientist,"- Machine Learning: Experience in machine learning, statistical modeling, data analysis and algorithm development
- Python: Proficient in programming languages such as Python
- SQL: Proficient in programming languages such as SQL
- Machine Learning Frameworks: Familiarity with machine learning frameworks and libraries like Tensorflow, PyTorch, Scikit-learn, XGBoost and LightGBM
- Deep Learning: Advanced knowledge in specialized areas such as deep learning
- Natural Language Processing: Advanced knowledge in specialized areas such as natural language processing
- Search and Recommendation Systems: Advanced knowledge in specialized areas such as search and recommendation systems
- Big Data Technologies: Preferably familiar with big data technologies like AWS, MLFLow, DVC, Metaflow
- Machine Learning Model Deployment: Preferably familiar with developing and deploying machine learning models in production","Strong mathematical, statistical or related quantitative skills required.",https://www.linkedin.com/jobs/search/?currentJobId=4063818931&geoId=106808692&keywords=moneylion&origin=JOB_COLLECTION_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true,4063818931,MoneyLion
Machine Learning Engineer,"- Programming: Technically proficient in programming
- Machine Learning: Hands on experience in machine learning, predictive analytics and statistical modelling
- Python: Proficient in Python
- SQL: Proficient in SQL
- Machine Learning Libraries/Frameworks: Proficient with machine learning libraries and frameworks such as scikit-learn, XGBoost, LightGBM
- MLOps Tools: Familiar and have experience with MLOps tools such as DVC, MLFlow, Metaflow, Seldon, BentoML
- Cloud Technologies: Familiar and have experience with AWS, Docker, Kubernetes
- Communication: Solid communication and collaboration skills","Strong mathematical, statistical or actuarial background and experience developing and deploying machine learning models in production.",https://www.linkedin.com/jobs/search/?currentJobId=3929669907&geoId=106808692&keywords=moneylion&origin=JOB_COLLECTION_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true,3929669907,MoneyLion
Java Developer,"- Java EE: 5+ years java experience with Java EE and microservices
- Microservices: 5+ years java experience with Java EE and microservices
- ETL: Preferred experience with ETL
- Python: Preferred experience with python
- Spring Framework: Proficient in the Spring framework (including Spring Boot, Spring Cloud, Spring MVC)
- SpringBoot: Proficient in the Spring framework
- SpringCloud: Proficient in the Spring framework
- SpringMVC: Proficient in the Spring framework
- Hibernate: Proficient in Hibernate
- Rabbit MQ/Kafka: Proficient in Rabbit MQ/Kafka
- MySQL: Hands-on experience with database like MySQL
- MongoDB: Hands-on experience with database like MongoDB
- Redis: Hands-on experience with database like Redis
- Elastic Search: Hands-on experience with database like Elastic Search
- Tomcat: Hands-on experience with Tomcat
- Kubernetes: Hands-on experience with Kubernetes
- Cloud Native Technologies: Hands-on experience with cloud native technologies
- HTTP: Knowledge of common technologies such as HTTP
- REST: Knowledge of common technologies such as REST
- JSON: Knowledge of common technologies such as JSON
- XML: Knowledge of common technologies such as XML
- SOAP: Knowledge of common technologies such as SOAP
- OAuth: Knowledge of common technologies such as OAuth
- SQL: Knowledge of common technologies such as SQL
- Git: Experience with Version Control Tools Git
- AI: Preferred experience with AI
- Large Language Model: Preferred experience with large language model
- Langchain: Preferred experience with langchain
- Langraph Framework: Preferred experience with langraph framework
- Agile: Ability to work in Agile Scrum environment
- Scrum: Ability to work in Agile Scrum environment","Bachelor degree or above, major in computer science, information technology, software engineering; 5+ years java experience",https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4119379728,4119379728,Lenovo
Machine Learning Engineer,"- Full stack software development: Deep knowledge required.
- Machine learning algorithms: Required for problem-solving.
- Angular: Expertise required.
- C#: Expertise required.
- ASP.Net: Expertise required.
- Python: Expertise required.
- Tensorflow: Expertise required.
- Large Language Model: Expertise required.
- ELK: Expertise required.
- Kubernetes: Expertise required.
- KubeFlow: Expertise required.
- Scripting: Expertise required.
- SQL queries: Expertise required.
- RESTful APIs: Skill in integrating with RESTful APIs.
- Computer Vision: Experience with Computer Vision.
- Generative AI: Experience with Generative AI.
- Natural Language Processing: Experience with Natural Language Processing.
- Predictive Modeling: Experience with Predictive Modeling.
- Deep Learning: Experience with Deep Learning.",5+ years (Master's Degree) or 8+ years (Bachelor's degree) experience in Computer Science/Computer Engineering or related field with solid software programming experience.,https://www.linkedin.com/jobs/search/?currentJobId=4146387225&geoId=106808692&keywords=ai%20engineer&origin=JOBS_HOME_KEYWORD_AUTOCOMPLETE&refresh=true,4146387225,Intel Corporation
"Lead, Test Automation Engineer","- Test Automation: Experience in developing software test automation for Mobile, Web Browsers or Backend API.
- SDLC/STLC: Knowledge of software development and testing lifecycle.
- Programming Languages/Frameworks: Expertise in at least one programming language, script or framework (e.g. Java, Bash, Python, TestNG, Selenium, Appium, Pytest, REST Assured, Swagger).
- Continuous Integration: Experience in configuring continuous integration pipeline (e.g. Github Actions, ArgoCD, ReportPortal, Jenkins).
- Agile Methodologies: Experience in Agile methodologies.
- Communication: Excellent communication and interpersonal skills.",6+ years of experience in developing software test automation,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3989693570,3989693570,Setel
Data Scientist (Decision Science),"- Machine Learning: Hands-on experience in machine learning, predictive analytics and statistical modeling
- Predictive Analytics: Hands-on experience in machine learning, predictive analytics and statistical modeling
- Statistical Modeling: Hands-on experience in machine learning, predictive analytics and statistical modeling
- A/B Testing: Proficiency with A/B testing and experimentation framework is preferred
- Experimentation Framework: Proficiency with A/B testing and experimentation framework is preferred
- Python: Proficient in programming languages such as Python and SQL
- SQL: Proficient in programming languages such as Python and SQL
- Data Visualization: Demonstrably experienced with data visualization
- Communication: Demonstrably excellent verbal and written communication skills","Strong mathematical, statistical or actuarial background",https://www.linkedin.com/jobs/search/?currentJobId=3929671426&geoId=106808692&keywords=moneylion&origin=JOB_COLLECTION_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true,3929671426,MoneyLion
